simpleid,ID,CVCL,GDSC,CCLE,GNE,PharmacoGX_ID,SRR,EGAF,EGAN,gCSI_RNA
AM38,AM-38,CVCL_1070,AM-38.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C08_437504,NA,AM-38,SRR8615410,NA,NA,NA
AML193,AML-193,CVCL_1071,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C09_464562,NA,AML-193,SRR8615409,NA,NA,NA
AMO1,AMO-1,CVCL_1806,AMO-1.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E08_490384,Unk269,AMO1,SRR8615408,NA,NA,635599_1
AN3CA,AN3-CA,CVCL_0028,AN3-CA.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G07_578294,Unk404,AN3-CA,SRR8615413,NA,NA,636746_1
ARH77,ARH-77,CVCL_1072,ARH-77.cel,NA,NA,ARH-77,NA,EGAF00000881542,EGAN00001253244,NA
ASH3,ASH-3,CVCL_2856,ASH-3.cel,NA,NA,ASH-3,NA,EGAF00000824148,EGAN00001252851,NA
ASPC1,AsPC-1,CVCL_0152,AsPC-1.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G07_246766,Unk226,AsPC-1,SRR8615412,NA,NA,587689_1
ATN1,ATN-1,CVCL_1073,ATN-1.cel,NA,NA,ATN-1,NA,EGAF00000836388,EGAN00001266059,NA
ATRFLOX,ATRFLOX,CVCL_2299,NA,NA,Unk553,NA,NA,NA,NA,636441_1
AU565,AU565,CVCL_1074,AU565.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244,NA,AU565,SRR8615774,NA,NA,NA
AZ521,AZ-521,CVCL_2862,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B02_256028,NA,NA,NA,NA,NA,NA
BALL1,BALL-1,CVCL_1075,BALL-1.cel,NA,NA,BALL-1,NA,EGAF00000836389,EGAN00001266060,NA
BB30HNC,BB30-HNC,CVCL_1076,BB30-HNC.cel,NA,NA,BB30-HNC,NA,EGAF00000836390,EGAN00001266061,NA
BB49HNC,BB49-HNC,CVCL_1077,BB49-HNC.cel,NA,NA,BB49-HNC,NA,EGAF00000851878,EGAN00001266062,NA
BB65RCC,BB65-RCC,CVCL_1078,BB65-RCC.cel,NA,NA,BB65-RCC,NA,EGAF00000824149,EGAN00001252852,NA
BC1,BC-1,CVCL_1079,BC-1.cel,NA,NA,BC-1,NA,EGAF00000851879,EGAN00001266063,NA
BC3,BC-3,CVCL_1080,BC-3.cel,NA,NA,BC-3,NA,EGAF00000851880,EGAN00001266064,NA
BC3C,BC-3C,CVCL_1958,NA,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C08_490450,NA,BC-3C,SRR8615775,NA,NA,NA
BCP1,BCP-1,CVCL_0107,NA,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F10_437220,NA,BCP-1,SRR8615772,NA,NA,NA
BCPAP,B-CPAP,CVCL_0153,BCPAP.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G05_490434,NA,B-CPAP,SRR8615773,NA,NA,NA
BDCM,BDCM,CVCL_4613,NA,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E04_335290,NA,BDCM,SRR8615770,NA,NA,NA
BE13,BE-13,CVCL_1081,BE-13.cel,NA,NA,BE-13,NA,EGAF00000851881,EGAN00001266065,NA
BE2M17,BE2-M17,CVCL_0167,BE2-M17.cel,NA,NA,NA,NA,EGAF00000851882,EGAN00001266066,NA
BECKER,Becker,CVCL_1093,Becker.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D02_437524,NA,Becker,NA,EGAF00000851883,EGAN00001266067,NA
BEN,BEN,CVCL_1082,BEN.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352,Unk443,BEN,SRR8615771,NA,NA,637174_1
BFTC905,BFTC-905,CVCL_1083,BFTC-905.cel,NA,Unk321,BFTC-905,SRR8615768,NA,NA,636099_1
BFTC909,BFTC-909,CVCL_1084,BFTC-909.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D01_490476,Unk436,BFTC-909,SRR8615769,NA,NA,636131_1
BHT101,BHT-101,CVCL_1085,BHT-101.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E07_490332,NA,BHT-101,SRR8615776,NA,NA,NA
BHY,BHY,CVCL_1086,BHY.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C02_490356,Unk567,BHY,SRR8615777,NA,NA,636129_1
BICR10,BICR-10,CVCL_2307,NA,NA,Unk291,BICR 10,NA,EGAF00000851884,EGAN00001266068,636053_1
BICR16,BICR16,CVCL_2308,NA,NA,NA,NA,SRR8616121,NA,NA,NA
BICR18,BICR-18,CVCL_2309,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B03_698684,NA,BICR 18,SRR8616120,NA,NA,NA
BICR22,BICR-22,CVCL_2310,NA,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C03_542962,Unk570,BICR 22,SRR8616123,NA,NA,636148_1
BICR31,BICR-31,CVCL_2312,BICR31.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E07_542878,Unk560,BICR 31,SRR8616122,NA,NA,636104_1
BICR56,BICR-56,CVCL_2313,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C09_578334,NA,BICR 56,SRR8616117,NA,NA,NA
BICR6,BICR-6,CVCL_2314,NA,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C01_578456,NA,BICR 6,SRR8616116,NA,NA,NA
BICR78,BICR-78,CVCL_2315,BICR78.cel,NA,Unk375,BICR 78,NA,EGAF00000851885,EGAN00001266069,636814_1
BJAB,BJAB,CVCL_5711,NA,NA,Unk65,NA,NA,NA,NA,587604_1
BJHTERT,BJ-hTERT,CVCL_6573,NA,EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_H01_780332,NA,NA,NA,NA,NA,NA
BL41,BL-41,CVCL_1087,BL-41.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F04_464688,NA,BL-41,SRR8616119,NA,NA,NA
BL70,BL-70,CVCL_1088,BL-70.CEL,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H07_464644,NA,BL-70,SRR8616118,NA,NA,NA
BONNA12,BONNA-12,CVCL_1090,BONNA-12.cel,NA,NA,BONNA-12,NA,EGAF00000851886,EGAN00001266070,NA
BPH1,BPH-1,CVCL_1091,BPH-1.cel,NA,NA,BPH-1,NA,EGAF00000851887,EGAN00001266071,NA
BT12,BT-12,CVCL_M155,NA,NA,NA,NA,SRR8616125,NA,NA,NA
BT20,BT-20,CVCL_0178,BT-20.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F06_335318,Unk150,BT-20,SRR8616124,NA,NA,587433_1
BT474,BT-474,CVCL_0179,BT-474.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B12_293326,Unk151,BT-474,SRR8616195,NA,NA,587434_1
BT483,BT-483,CVCL_2319,BT-483.cel,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B06_464594,Unk153,BT-483,SRR8616196,NA,NA,587436_1
BT549,BT-549,CVCL_1092,BT-549.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B08_256040,Unk152,BT-549,SRR8616197,NA,NA,587437_1
BV173,BV-173,CVCL_0181,BV-173.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D04_578460,NA,BV-173,SRR8616198,EGAF00000661929,EGAN00001209144,NA
BXPC3,BxPC-3,CVCL_0186,BxPC-3.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G02_246756,Unk471,BxPC-3,SRR8616199,NA,NA,635998_1
C170,C170,CVCL_S959,NA,NA,Unk191,NA,NA,NA,NA,587484_1
C2BBE1,C2BBe1,CVCL_1096,C2BBe1.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C02_437322,Unk587,C2BBe1,SRR8616200,EGAF00000684741,EGAN00001202147,636799_1
C32,C32,CVCL_1097,C32.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B03_256030,Unk73,C32 [Human melanoma],SRR8616201,NA,NA,587730_1
C32TG,C32TG,CVCL_2324,NA,NA,Unk377,NA,NA,NA,NA,636815_1
C33A,C-33-A,CVCL_1094,C-33-A.cel,NA,Unk421,C-33 A,NA,EGAF00000851888,EGAN00001266072,636821_1
C3A,C3A,CVCL_1098,C3A.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E10_335302,Unk310,NA,NA,EGAF00000851889,EGAN00001266073,636863_1
C4I,C-4-I,CVCL_2253,C-4-I.cel,NA,NA,C-4-I,NA,EGAF00000851890,EGAN00001266074,NA
C8166,C8166,CVCL_1099,NA,NA,NA,NA,SRR8616202,NA,NA,NA
CA46,CA46,CVCL_1101,CA46.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D06_335270,Unk30,CA46,SRR8616193,NA,NA,587605_1
CA922,Ca9-22,CVCL_1102,ega-box-03_Ca9-22.cel,NA,NA,Ca9-22,NA,EGAF00000851891,EGAN00001266075,NA
CACO2,CACO2,CVCL_0025,NA,NA,Unk193,NA,NA,NA,NA,587485_1
CADOES1,CADO-ES1,CVCL_1103,CADO-ES1.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E12_490484,NA,CADO-ES1,SRR8615273,NA,NA,NA
CAKI1,Caki-1,CVCL_0234,CAKI-1.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D12_437234,Unk556,Caki-1,SRR8615272,NA,NA,636152_1
CAKI2,Caki-2,CVCL_0235,NA,NA,Unk410,Caki-2,SRR8615271,NA,NA,636058_1
CAL120,CAL-120,CVCL_1104,ega-box-03_CAL-120.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G06_490466,Unk154,CAL-120,SRR8615270,NA,NA,587438_1
CAL12T,CAL-12T,CVCL_1105,CAL-12T.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202,Unk260,CAL-12T,SRR8615269,NA,NA,636791_1
CAL148,CAL-148,CVCL_1106,CAL-148.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E11_698682,Unk155,CAL-148,SRR8615268,NA,NA,587439_1
CAL27,CAL-27,CVCL_1107,CAL-27.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F05_335316,Unk318,CAL-27,SRR8615267,NA,NA,636096_1
CAL29,CAL-29,CVCL_1808,CAL-29.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E11_490468,NA,CAL-29,SRR8615266,NA,NA,NA
CAL33,CAL-33,CVCL_1108,CAL-33.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A09_542966,NA,CAL-33,SRR8615265,NA,NA,NA
CAL39,CAL-39,CVCL_1109,NA,NA,NA,NA,NA,EGAF00000851892,EGAN00001266076,NA
CAL51,CAL-51,CVCL_1110,CAL-51.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C10_490500,Unk254,CAL-51,SRR8615264,NA,NA,635981_1
CAL54,CAL-54,CVCL_1111,CAL-54.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F09_578406,Unk555,CAL-54,SRR8615315,NA,NA,636153_1
CAL62,CAL-62,CVCL_1112,CAL-62.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H01_490514,NA,CAL-62,SRR8615569,NA,NA,NA
CAL72,CAL-72,CVCL_1113,CAL-72.cel,NA,NA,CAL-72,NA,EGAF00000765139,EGAN00001236654,NA
CAL78,CAL-78,CVCL_1809,CAL-78.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G02_490488,NA,CAL-78,SRR8615527,NA,NA,NA
CAL851,CAL-85-1,CVCL_1114,CAL-85-1.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B04_256032,Unk156,CAL-85-1,SRR8615528,NA,NA,587441_1
CALU1,Calu-1,CVCL_0608,NA,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F10_256140,NA,Calu-1,SRR8615533,NA,NA,639228_1
CALU3,Calu-3,CVCL_0609,Calu-3.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F12_437216,Unk62,Calu-3,SRR8615534,NA,NA,587527_1
CALU6,Calu-6,CVCL_0236,Calu-6.cel,HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G10_293442,Unk105,Calu-6,SRR8615531,NA,NA,587528_1
CAMA1,CAMA-1,CVCL_1115,CAMA-1.cel,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A08_437580,Unk157,CAMA-1,SRR8615532,NA,NA,587442_1
CAOV3,Caov-3,CVCL_0201,Caov-3.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A10_256020,NA,Caov-3,SRR8615507,NA,NA,587667_1
CAOV4,Caov-4,CVCL_0202,Caov-4.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B06_437306,NA,Caov-4,SRR8615508,NA,NA,NA
CAPAN1,Capan-1,CVCL_0237,CAPAN-1.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D10_335278,Unk227,Capan-1,SRR8615247,NA,NA,587691_1
CAPAN2,Capan-2,CVCL_0026,Capan-2.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C04_256056,Unk228,Capan-2,SRR8615246,NA,NA,587692_1
CAR1,CaR-1,CVCL_1116,CaR-1.cel,NA,Unk658,CaR-1,NA,EGAF00000684899,EGAN00001202148,639164_1
CAS1,CAS-1,CVCL_1117,CAS-1.cel,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E02_411008,NA,CAS-1,SRR8615249,NA,NA,NA
CASKI,Ca-Ski,CVCL_1100,Ca-Ski.cel,NA,Unk485,Ca Ski,NA,EGAF00000851893,EGAN00001266077,636040_1
CCFSTTG1,CCF-STTG1,CVCL_1118,CCF-STTG1.cel,LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D03_437286,NA,CCF-STTG1,SRR8615248,NA,NA,NA
CCK81,CCK-81,CVCL_2873,CCK-81.cel,ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D11_256094,NA,CCK-81,SRR8615251,EGAF00000684900,EGAN00001202149,NA
CCRFCEM,CCRF-CEM,CVCL_0207,CCRF-CEM.cel,NA,NA,CCRF-CEM,NA,EGAF00000851894,EGAN00001266078,NA
CCRFSB,CCRF-SB,CVCL_1860,NA,NA,NA,NA,NA,NA,NA,639188_1
CESS,CESS,CVCL_0209,CESS.cel,NA,NA,CESS,NA,EGAF00000851895,EGAN00001266079,NA
CFPAC-1,CFPAC,CVCL_1119,CFPAC-1.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C02_335238,Unk229,CFPAC-1,NA,NA,NA,587693_1
CGTHW1,CGTH-W-1,CVCL_1120,CGTH-W-1.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C10_698660,NA,CGTH-W-1,NA,EGAF00000824150,EGAN00001252853,NA
CH157MN,CH-157MN,CVCL_5723,NA,NA,NA,NA,SRR8616082,NA,NA,NA
CHAGOK1,ChaGo-K-1,CVCL_1121,ChaGo-K-1.cel,AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F04_542948,Unk444,ChaGo-K-1,SRR8616079,NA,NA,636134_1
CHL1,CHL-1,CVCL_1122,CHL-1.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F11_246750,Unk94,CHL-1,NA,EGAF00000813783,EGAN00001252806,587804_1
CHL1,CHL-1,CVCL_1122,CHL-1.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F11_246750,Unk94,CHL-1,NA,EGAF00000800432,EGAN00001252806,587804_1
CHL1,CHL-1,CVCL_1122,CHL-1.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F11_246750,Unk94,CHL-1,NA,EGAF00000800432,EGAN00001252806,587804_1
CHL1,CHL-1,CVCL_1122,CHL-1.cel,LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F11_246750,Unk94,CHL-1,NA,EGAF00000813783,EGAN00001252806,587804_1
CHP126,CHP-126,CVCL_1123,CHP-126.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H04_490342,NA,CHP-126,SRR8615526,NA,NA,NA
CHP134,CHP-134,CVCL_1124,ega-box-03_CHP-134.cel,NA,NA,CHP-134,NA,EGAF00000851896,EGAN00001266080,NA
CHP212,CHP-212,CVCL_1125,CHP-212.cel,FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D02_335262,Unk351,CHP-212,SRR8616083,NA,NA,636018_1
CHSA0011,CHSA0011,CVCL_X483,CHSA0011.cel,NA,NA,CHSA0011,NA,EGAF00000800433,EGAN00001252807,NA
CHSA0011,CHSA0011,CVCL_X483,CHSA0011.cel,NA,NA,CHSA0011,NA,EGAF00000800433,EGAN00001252807,NA
CHSA0011,CHSA0011,CVCL_X483,CHSA0011.cel,NA,NA,CHSA0011,NA,EGAF00000813784,EGAN00001252807,NA
CHSA0011,CHSA0011,CVCL_X483,CHSA0011.cel,NA,NA,CHSA0011,NA,EGAF00000813784,EGAN00001252807,NA
CHSA0108,CHSA0108,CVCL_X484,CHSA0108.cel,NA,NA,CHSA0108,NA,EGAF00000800434,EGAN00001252808,NA
CHSA8926,CHSA8926,CVCL_X485,CHSA8926.cel,NA,NA,CHSA8926,NA,EGAF00000800435,EGAN00001252809,NA
CI1,Ci-1,CVCL_1861,NA,BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C05_464570,Unk32,Ci-1,SRR8616137,NA,NA,587606_1
CJM,CJM,CVCL_U797,NA,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E06_592754,NA,CJM [Human melanoma],SRR8616138,NA,NA,NA
CL11,CL-11,CVCL_1978,CL-11.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D07_490364,Unk202,CL-11,SRR8616139,NA,NA,587486_1
CL14,CL-14,CVCL_1979,NA,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G09_698640,NA,NA,SRR8616140,NA,NA,NA
CL34,CL-34,CVCL_1980,CL-34.cel,CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H03_490396,Unk204,CL-34,SRR8616141,NA,NA,587487_1
CL40,CL-40,CVCL_1982,CL-40.cel,VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G12_698668,Unk203,CL-40,SRR8616142,EGAF00000765140,EGAN00001236655,587488_1
CMK,CMK,CVCL_0216,CMK.cel,QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_G08_592650,NA,CMK,SRR8616143,NA,NA,NA
CMK115,CMK-11-5,CVCL_0217,NA,FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F11_410972,NA,NA,NA,NA,NA,NA
CMK86,CMK-86,CVCL_2804,NA,PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E12_437392,NA,NA,NA,NA,NA,NA
CMLT1,CML-T1,CVCL_1126,CML-T1.cel,MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D12_578440,NA,CML-T1,SRR8616144,EGAF00000661930,EGAN00001209145,NA
