ID,PharmacoGX_ID
CAL-85-1,CAL-85-1
Calu-1,Calu-1
Calu-3,Calu-3
Calu-6,Calu-6
CAMA-1,CAMA-1
Caov-3,Caov-3
Caov-4,Caov-4
Capan-1,Capan-1
Capan-2,Capan-2
CaR-1,CaR-1
CAS-1,CAS-1
CCF-STTG1,CCF-STTG1
CCK-81,CCK-81
CCRF-CEM,CCRF-CEM
CESS,CESS
CFPAC,CFPAC-1
CGTH-W-1,CGTH-W-1
ChaGo-K-1,ChaGo-K-1
CHL-1,CHL-1
CHP-126,CHP-126
CHP-134,CHP-134
CHP-212,CHP-212
CHSA0011,CHSA0011
CHSA0108,CHSA0108
CHSA8926,CHSA8926
Ci-1,Ci-1
CJM,CJM [Human melanoma]
CL-11,CL-11
CL-34,CL-34
CL-40,CL-40
CMK,CMK
CMK-11-5,#N/A
CMK-86,#N/A
CML-T1,CML-T1
CoCM-1,#N/A
COLO-201,COLO 201
COLO-205,COLO 205
COLO-206F,#N/A
COLO-320,COLO 320
COLO-320DM,#N/A
COLO-668,COLO 668
COLO-678,COLO 678
COLO-679,COLO 679
COLO-680N,COLO 680N
COLO-684,COLO 684
COLO-699,COLO 699
COLO-704,#N/A
COLO-741,COLO 741
COLO-775,#N/A
COLO-783,COLO 783
COLO-792,COLO 792
COLO-794,#N/A
COLO-800,COLO 800
COLO-818,#N/A
COLO-824,COLO 824
COLO-829,COLO 829
COLO-849,#N/A
COLO-853,#N/A
COLO-857,#N/A
COR-L105,COR-L105
COR-L23,COR-L23
COR-L24,#N/A
COR-L26,#N/A
COR-L279,COR-L279
COR-L303,COR-L303
COR-L311,COR-L311
COR-L32,COR-L32
COR-L321,COR-L321
COR-L47,COR-L47
COR-L51,COR-L51
COR-L88,COR-L88
COR-L95,COR-L95
COV318,#N/A
COV362,COV362
COV413A,#N/A
COV413B,#N/A
COV434,COV434
COV504,#N/A
COV644,COV644
CP67-MEL,CP67-MEL
CPC-N,CPC-N
CRO-AP2,CRO-AP2
CRO-AP3,CRO-AP3
CS1,CS-1 [Human chondrosarcoma]
CTB-1,CTB-1
CTV-1,CTV-1
CW-2,CW-2
CX-1,#N/A
D-245MG,D-245MG
D-247MG,D-247MG
D-263MG,D-263MG
D-283MED,D283 Med
D-336MG,D-336MG
D-392MG,D-392MG
D-423MG,D-423MG
D-502MG,D-502MG
D-542MG,D-542MG
D-566MG,D-566MG
D341-Med,#N/A
DAN-G,DAN-G
Daoy,Daoy
Daudi,Daudi
DB,DB
DBTRG-05MG,DBTRG-05MG
DEL,DEL
Detroit-562,Detroit 562
DG-75,DG-75
DIFI,DiFi
DJM-1,DJM-1
DK-MG,DK-MG
DLD-1,DLD-1
DM-3,#N/A
DMS-114,DMS 114
DMS-153,DMS 153
DMS-273,DMS 273
DMS-454,DMS 454
DMS-53,DMS 53
DMS-79,DMS 79
DND-41,DND-41
DOHH-2,DoHH2
DOK,DOK
Dor13,#N/A
DoTc2-4510,DoTc2 4510
DOV13,DOV13
DSH1,DSH1
DU-145,DU145
DU-4475,DU4475
DV-90,DV-90
EB-3,EB3 [Human Burkitt lymphoma]
EB1,EB1
EB2,EB2
EBC-1,EBC-1
EC-GI-10,EC-GI-10
ECC10,ECC10
ECC12,ECC12
EF027,EFO-27
EFE-184,EFE-184
EFM-19,EFM-19
EFM-192A,EFM-192A
EFM-192B,#N/A
EFM-192C,#N/A
EFO-21,EFO-21
EGI-1,EGI-1
EHEB,EHEB
EJM,EJM
EKVX,EKVX
EM-2,EM-2
EMC-BAC-1,EMC-BAC-1
EMC-BAC-2,EMC-BAC-2
EN,EN
EOL-1,EoL-1
EPLC-272H,EPLC-272H
ES-2,ES-2
ES1,ES1
ES3,ES3
ES4,ES4
ES5,ES5
ES7,ES7
ES8,ES8
ESO26,ESO-26
ESO51,ESO-51
ESS-1,ESS-1
ETK-1,ETK-1
EVSA-T,Evsa-T
EW-1,EW-1
EW-11,EW-11
EW-12,EW-12
EW-13,EW-13
EW-16,EW-16
EW-18,EW-18
EW-22,EW-22
EW-24,EW-24
EW-3,EW-3
EW-7,EW-7
EWS502,#N/A
F-36P,F-36P
F5,#N/A
FaDu,FaDu
Farage,Farage
FLO-1,FLO-1
FTC-133,FTC-133
FTC-238,FTC-238
Fu-Ov-1,FU-OV-1
FU97,Fu97
G-292_Clone_A141B1,G-292 clone A141B1
G-361,G-361
G-401,G-401
G-402,G-402
G-MEL,G-mel
G111,#N/A
G112,#N/A
G118,#N/A
G120,#N/A
G121,#N/A
G122,#N/A
G124,#N/A
G130,#N/A
G140,#N/A
G141,#N/A
G142,#N/A
G22,#N/A
G28T,#N/A
G44,#N/A
G59,#N/A
G61,#N/A
G84,#N/A
G96,#N/A
GA-10,GA-10
GAK,GAK
GAMG,GaMG
GCIY,GCIY
GCT,GCT
GDM-1,GDM-1
Geo,GEO
GI-1,GI-1
GI-ME-N,GI-ME-N
GMS-10,GMS-10
GOS-3,GOS-3
GOTO,GOTO
GP2d,GP2d
GP5d,GP5d
GR-M,#N/A
GR-ST,GR-ST
GRANTA-519,Granta-519
GSS,GSS
GSU,GSU
GT3TKB,GT3TKB
GTL-16,#N/A
H-EMC-SS,H-EMC-SS
H1355,#N/A
H1373,#N/A
H1573,#N/A
H1693,#N/A
H1770,#N/A
H1792,#N/A
H2196,#N/A
H2198,#N/A
H2369,#N/A
H2373,#N/A
H2591,#N/A
H2595,#N/A
H2722,#N/A
H2731,#N/A
H2795,#N/A
H2803,#N/A
H2804,#N/A
H2810,#N/A
H2818,#N/A
H2869,#N/A
H290,#N/A
H3118,#N/A
H322T,#N/A
H3255,#N/A
H4,H4
H513,#N/A
H69AR,#N/A
H9,H9
HA7-RCC,HA7-RCC
HAL-01,HAL-01
HARA,#N/A
HBL-100,#N/A
HC-1,HC-1
HCA-7,#N/A
HCC-1171,HCC1171
HCC-1195,HCC1195
HCC-15,HCC15
HCC-1897,#N/A
HCC-2279,HCC2279
HCC-33,HCC33
HCC-366,HCC366
HCC-44,HCC44
HCC-56,HCC-56
HCC-78,HCC78
HCC-827,HCC827
HCC-95,HCC95
HCC1011,#N/A
HCC1143,HCC1143
HCC1162,#N/A
HCC1187,HCC1187
HCC12,#N/A
HCC1263,#N/A
HCC1319,#N/A
HCC1359,#N/A
HCC1395,HCC1395
HCC1419,HCC1419
HCC1428,HCC1428
HCC1482,#N/A
HCC1493,#N/A
HCC1500,HCC1500
HCC1534,#N/A
HCC1569,HCC1569
HCC1576,#N/A
HCC1599,HCC1599
HCC1806,HCC1806
HCC193,#N/A
HCC1937,HCC1937
HCC1954,HCC1954
HCC202,HCC202
HCC2157,HCC2157
HCC2218,HCC2218
HCC2270,#N/A
HCC2302,#N/A
HCC2688,#N/A
HCC2885,#N/A
HCC2911,#N/A
HCC2935,HCC2935
HCC2998,HCC2998
HCC364,#N/A
HCC38,HCC38
HCC4006,HCC4006
HCC4011,#N/A
HCC4017,#N/A
HCC4019,#N/A
HCC461,#N/A
HCC515,#N/A
HCC60,#N/A
HCC630,#N/A
HCC70,HCC70
HCC850,#N/A
HCC89,#N/A
HCE-4,HCE-4
HCT-116,HCT 116
HCT-15,HCT 15
HCT-8,HCT 8
HD-MY-Z,HD-MY-Z
HDLM-2,HDLM-2
HDQ-P1,HDQ-P1
HEC-1,HEC-1
HEC-1-A,HEC-1-A
HEC-1-B,HEC-1-B
HEC-108,HEC-108
HEC-151,HEC-151
HEC-251,HEC-251
HEC-265,HEC-265
HEC-50B,HEC-50B
HEC-59,HEC-59
HEK-TE,#N/A
HEL,HEL
HEL-92.1.7,HEL 92.1.7
HeLa,HeLa
Hep_3B2_1-7,Hep 3B2.1-7
HEp-2,Hep-G2/C3A
Hep-3B2.1-7,Hep 3B2.1-7
Hep-G2,Hep-G2
Hey,HEY
Hey-A8,HEY A8
HEY1,#N/A
HGC-27,HGC-27
HH,HH [Human lymphoma]
HK-2,#N/A
HL-60,HL-60
HLC-1,#N/A
HLE,HLE
HLF,HLF
HLF-a,#N/A
HM7,#N/A
HMC-1-8,HMC-1-8
HMCB,HMCB
HMEL,#N/A
HMV-II,HMV-II
HMY-1,#N/A
HN,HN
HNT-34,#N/A
HO-1-N-1,HO-1-N-1
HO-1-u-1,HO-1-u-1
HOP-18,#N/A
HOP-62,HOP-62
HOP-92,HOP-92
HOS,HOS
HPAC,HPAC
HPAF-II,HPAF-II
HPB-ALL,HPB-ALL
HRT-18,#N/A
Hs-172.T,#N/A
Hs-229.T,#N/A
Hs-255.T,#N/A
Hs-274.T,#N/A
Hs-281.T,#N/A
Hs-294T,Hs 294T
Hs-343.T,#N/A
Hs-38.T,#N/A
Hs-445,#N/A
Hs-571.T,#N/A
Hs-578T,Hs 578T
Hs-600.T,#N/A
Hs-604.T,#N/A
Hs-606.T,#N/A
Hs-611.T,Hs 611T
Hs-616.T,#N/A
Hs-618.T,#N/A
Hs-675.T,#N/A
Hs-683,Hs 683
Hs-688(A).T,Hs 688(A).T
Hs-695T,#N/A
Hs-698.T,#N/A
Hs-69ST,#N/A
Hs-706.T,#N/A
Hs-729,Hs 729.T
Hs-737.T,#N/A
Hs-739.T,#N/A
Hs-742.T,#N/A
Hs-746T,Hs 746T
Hs-751.T,#N/A
Hs-766T,Hs 766T
Hs-819.T,#N/A
Hs-821.T,#N/A
Hs-822.T,Hs 822.T
Hs-832(C).T,#N/A
Hs-839.T,Hs 839.T
Hs-840.T,#N/A
Hs-852.T,Hs 852.T
Hs-863.T,#N/A
Hs-870.T,#N/A
Hs-895.T,Hs 895.T
Hs-934.T,Hs 934.T
Hs-936.T,Hs 936.T
Hs-939.T,Hs 939.T
Hs-940.T,Hs 940.T
Hs-944.T,Hs 944.T
HS-Sultan,#N/A
HSC-2,HSC-2
HSC-3,HSC-3
HSC-39,HSC-39
HSC-4,HSC-4
HT,HT
HT-1080,HT-1080
HT-115,#N/A
HT-1197,HT-1197
HT-1376,HT-1376
HT-144,HT-144
HT-29,HT-29
HT-3,HT-3
HT55,HT-55
HTC-C3,HTC-C3
HTK-,#N/A
HuCCT1,HuCC-T1
HuG1-N,HuG1-N
huH-1,HuH-1
HuH-6,#N/A
HuH-7,Huh-7
HuH28,HuH-28
HuNS1,HuNS1
HuO-3N1,HuO-3N1
HuO9,HuO9
HuP-T3,HuP-T3
HuP-T4,HuP-T4
HuT-102,#N/A
HuT-78,HuT 78
HuTu-80,HuTu 80
HUVEC,#N/A
IA-LM,IA-LM
IGR-1,IGR-1
IGR-37,IGR-37
IGR-39,IGR-39
IGROV-1,IGROV-1
IHH-4,IHH-4
IM-9,IM-9
IM-95,IM95
IM95m,#N/A
IMR-32,IMR-32
IMR-5,IMR-5
IPC-298,IPC-298
Ishikawa-(Heraklio)-02-ER-,Ishikawa (Heraklio) 02 ER-
IST-MEL1,IST-MEL1
IST-MES1,IST-Mes1
IST-SL1,IST-SL1
IST-SL2,IST-SL2
J82,J82
JAR,JAR
JEG-3,JEG-3
JeKo-1,JeKo-1
JHH-1,JHH-1
JHH-2,JHH-2
JHH-4,JHH-4
JHH-5,JHH-5
JHH-6,JHH-6
JHH-7,JHH-7
JHOC-5,JHOC-5
JHOM-1,JHOM-1
JHOM-2B,#N/A
JHOS-2,JHOS-2
JHOS-3,JHOS-3
JHOS-4,JHOS-4
JHU-011,JHU-011
JHU-022,JHU-022
JHU-029,JHU-029
JHUEM-1,JHUEM-1
JHUEM-2,JHUEM-2
JHUEM-3,JHUEM-3
JHUEM-7,JHUEM-7
JIMT-1,JIMT-1
Jiyoye,Jiyoye
JJ012,#N/A
JJN-3,JJN-3
JK-1,JK-1
JL-1,JL-1
JM1,JM-1
JMSU-1,JMSU-1
JSC-1,JSC-1
Jurkat,Jurkat
JURL-MK1,JURL-MK1
JVM-2,JVM-2
JVM-3,JVM-3
K-562,K-562
K029AX,K029AX
K2,K2 [Human melanoma]
K5,K5
KALS-1,KALS-1
KARPAS-1106P,Karpas-1106P
KARPAS-231,Karpas-231
KARPAS-299,Karpas-299
Karpas-422,Karpas-422
KARPAS-45,Karpas-45
KARPAS-620,Karpas-620
Kasumi-1,Kasumi-1
KASUMI-2,Kasumi-2
Kasumi-6,#N/A
Kato-III,KATO III
KCI-MOH1,#N/A
KCL-22,KCL-22
KE-37,KE-37
KE-39,KE-39
KE-97,KE-97
KELLY,Kelly
KG-1,KG-1
KG-1-C,KG-1-C
KGN,KGN
KHM-1B,KHM-1B
Ki-JK,Ki-JK
KINGS-1,KINGS-1
KLE,KLE
KLM-1,#N/A
KM-12,KM12
KM-H2,KM-H2
KMBC-2,KMBC-2
KMM-1,KMM-1
KMOE-2,KMOE-2
KMRC-1,KMRC-1
KMRC-2,KMRC-2
KMRC-20,KMRC-20
KMRC-3,KMRC-3
KMS-11,KMS-11
KMS-12-BM,KMS-12-BM
KMS-12-PE,#N/A
KMS-18,KMS-18
KMS-20,KMS-20
KMS-21BM,KMS-21-BM
KMS-26,KMS-26
KMS-27,KMS-27
KMS-28BM,KMS-28BM
KMS-28PE,#N/A
KMS-34,KMS-34
KNS-42,KNS-42
KNS-60,KNS-60
KNS-62,KNS-62
KNS-81,KNS-81
KNS-81-FD,KNS-81-FD
KO52,KO52
KON,KON
KOPN-8,KOPN-8
KOSC-2,KOSC-2
KP-1N,KP-1N
KP-2,KP-2
KP-3,KP-3
KP-3L,#N/A
KP-4,KP-4
KP-N-RT-BM-1,KP-N-RT-BM-1
KP-N-SI9s,KP-N-SI9s
KP-N-YN,KP-N-YN
KP-N-YS,KP-N-YS
KP4-x1.1,#N/A
KPL-1,KPL-1
KPL-4,#N/A
KS-1,#N/A
KU-19-19,KU-19-19
KU812,Ku812
KURAMOCHI,Kuramochi
KY821,KY821
KYM-1,KYM-1
KYO-1,KYO-1
KYSE-140,KYSE-140
KYSE-150,KYSE-150
KYSE-180,KYSE-180
KYSE-220,KYSE-220
KYSE-270,KYSE-270
KYSE-30,KYSE-30
KYSE-410,KYSE-410
KYSE-450,KYSE-450
KYSE-50,KYSE-50
KYSE-510,KYSE-510
KYSE-520,KYSE-520
KYSE-70,KYSE-70
L-1236,L-1236
L-363,L-363
L-428,L-428
L-540,L-540
L3.3,L3.3
LAMA-84,LAMA-84
LAN-6,LA-N-6
LB1047-RCC,LB1047-RCC
LB2241-RCC,LB2241-RCC
LB2518-MEL,LB2518-MEL
LB647-SCLC,LB647-SCLC
LB771-HNC,LB771-HNC
LB831-BLC,LB831-BLC
LB996-RCC,LB996-RCC
LC-1-sq,LC-1/sq
LC-1F,LC-1F
LC-2-ad,LC-2/ad
LC4-1,LC4-1
LCLC-103H,LCLC-103H
LCLC-97TM1,LCLC-97TM1
Li-7,Li-7
LIM1215,LIM1215
LK-2,LK-2
LMSU,LMSU
LN-18,LN-18
LN-229,LN-229
LN-405,LN-405
LNCaP-clone-FGC,LNCaP CLONE FGC
LNZTA3WT4,LNZTA3WT4
LOU-NH91,LOU-NH91
Loucy,Loucy
LoVo,LoVo
LOX-IMIV,#N/A
LOX-IMVI,LOX-IMVI
LP-1,LP-1
LS-1034,LS1034
LS-123,LS123
LS-180,LS180
LS-513,LS513
LS174T,#N/A
LS411N,LS411N
LU-134-A,Lu-134-A
LU-135,Lu-135
LU-139,Lu-139
LU-165,Lu-165
LU-65,Lu-65
LU-99A,Lu-99A
LU99,#N/A
LUDLU-1,LUDLU-1
LXF-289,LXF 289
LXFL529,#N/A
M-07e,M-07e
M059J,M059J
M059K,M059K
Malme-3M,Malme-3M
MB361.1,#N/A
MC-1010,MC-1010
MC-IXC,#N/A
MC116,MC116
MCAS,MCAS
MCC13,MCC13
MCC26,MCC26
MCF-10A,#N/A
MCF-7,MCF-7
MCF10DCIS.com,#N/A
MDA-MB-134-VI,MDA-MB-134-VI
MDA-MB-157,MDA-MB-157
MDA-MB-175-VII,MDA-MB-175-VII
MDA-MB-231,MDA-MB-231
MDA-MB-330,MDA-MB-330
MDA-MB-361,MDA-MB-361
MDA-MB-415,MDA-MB-415
MDA-MB-435,MDA-MB-435
MDA-MB-436,MDA-MB-436
MDA-MB-453,MDA-MB-453
MDA-MB-468,MDA-MB-468
MDA-PCa-2b,#N/A
MDST8,MDST8
ME-1,ME-1 [Human leukemia]
ME-180,ME-180
MEC-1,MEC-1
MEC-2,MEC-2
MEG-01,MEG-01
MEL-HO,Mel Ho
MEL-JUSO,Mel JuSo
MES-SA,MES-SA
Mewo,MeWo
MFE-280,MFE-280
MFE-296,MFE-296
MFE-319,MFE-319
MFH-ino,MFH-ino
MFM-223,MFM-223
MG-63,MG-63
MHH-CALL-2,MHH-CALL-2
MHH-CALL-4,MHH-CALL-4
MHH-ES-1,MHH-ES-1
MHH-NB-11,MHH-NB-11
MHH-PREB-1,MHH-PREB-1
MIA-PaCa-2,MIA Paca-2
Mino,Mino
MJ,MJ
MKN-1,MKN1
MKN-45,MKN45
MKN-7,MKN7
MKN-74,MKN74
MKN28,MKN28
ML-1,ML-1 [Human thyroid carcinoma]
ML-2,ML-2
MLMA,MLMA
MM.1S,MM1.S
MMAC-SF,MMAc-SF
MN-60,MN-60
Mo-T,Mo
MOG-G-CCM,MOG-G-CCM
MOG-G-UVW,MOG-G-UVW
MOLM-13,MOLM-13
MOLM-16,MOLM-16
MOLP-2,MOLP-2
MOLP-8,MOLP-8
MOLT-13,MOLT-13
MOLT-16,MOLT-16
MOLT-4,MOLT-4
MONO-MAC-1,Mono-Mac-1
MONO-MAC-6,Mono-Mac-6
MOR,#N/A
MOR/CPR,MOR/CPR
MOTN-1,MOTN-1
MPP-89,MPP 89
MRK-nu-1,MRK-nu-1
MS-1,MS-1 [Human lung carcinoma]
MS-1-L,#N/A
MS751,MS751
MSTO-211H,MSTO-211H
MT-3,#N/A
MUTZ-5,#N/A
MV-4-11,MV4-11
MX-1,#N/A
MY-M12,MY-M12
MZ1-PC,MZ-PC-1
MZ2-MEL,MZ-MEL-2
MZ7-mel,#N/A
NALM-1,#N/A
NALM-19,#N/A
NALM-6,NALM-6
Namalwa,Namalwa
NB_TU_1-10,NB(TU)1
NB-1,NB1
NB-4,NB4
NB10,#N/A
NB12,#N/A
NB14,#N/A
NB17,#N/A
NB5,#N/A
NB6,#N/A
NB69,NB69
NB7,#N/A
NCC-StC-K140,NCC-StC-K140
NCC010,NCC010
NCC021,NCC021
NCCIT,NCC-IT
NCI-H1048,NCI-H1048
NCI-H1092,NCI-H1092
NCI-H1105,NCI-H1105
NCI-H1155,NCI-H1155
NCI-H1184,NCI-H1184
NCI-H128,NCI-H128
NCI-H1299,NCI-H1299
NCI-H1304,NCI-H1304
NCI-H1339,NCI-H1339
NCI-H1341,NCI-H1341
NCI-H1355,NCI-H1355
NCI-H1373,NCI-H1373
NCI-H1385,NCI-H1385
NCI-H1395,NCI-H1395
NCI-H1417,NCI-H1417
NCI-H1435,NCI-H1435
NCI-H1436,NCI-H1436
NCI-H1437,NCI-H1437
NCI-H146,NCI-H146
NCI-H1563,NCI-H1563
NCI-H1568,NCI-H1568
NCI-H1573,NCI-H1573
NCI-H1581,NCI-H1581
NCI-H1618,NCI-H1618
NCI-H1623,NCI-H1623
NCI-H1648,NCI-H1648
NCI-H1650,NCI-H1650
NCI-H1651,NCI-H1651
NCI-H1666,NCI-H1666
NCI-H1688,NCI-H1688
NCI-H1693,NCI-H1693
NCI-H1694,NCI-H1694
NCI-H1703,NCI-H1703
NCI-H1734,NCI-H1734
NCI-H1755,NCI-H1755
NCI-H1770,NCI-H1770
NCI-H1781,NCI-H1781
NCI-H1792,NCI-H1792
NCI-H1793,NCI-H1793
NCI-H1836,NCI-H1836
NCI-H1838,NCI-H1838
NCI-H1869,NCI-H1869
NCI-H187,NCI-H187
NCI-H1876,NCI-H1876
NCI-H1882,#N/A
NCI-H1915,NCI-H1915
NCI-H1930,#N/A
NCI-H1944,NCI-H1944
NCI-H196,NCI-H196
NCI-H1963,NCI-H1963
NCI-H1975,NCI-H1975
NCI-H1993,NCI-H1993
NCI-H2009,NCI-H2009
NCI-H2023,NCI-H2023
NCI-H2029,NCI-H2029
NCI-H2030,NCI-H2030
NCI-H2052,NCI-H2052
NCI-H2066,NCI-H2066
NCI-H2073,#N/A
NCI-H2081,NCI-H2081
NCI-H2085,NCI-H2085
NCI-H2087,NCI-H2087
NCI-H209,NCI-H209
NCI-H2106,NCI-H2106
NCI-H211,NCI-H211
NCI-H2110,NCI-H2110
NCI-H2122,NCI-H2122
NCI-H2126,NCI-H2126
NCI-H2135,NCI-H2135
NCI-H2141,NCI-H2141
NCI-H2170,NCI-H2170
NCI-H2171,NCI-H2171
NCI-H2172,NCI-H2172
NCI-H2196,NCI-H2196
NCI-H2198,#N/A
NCI-H2227,NCI-H2227
NCI-H2228,NCI-H2228
NCI-H226,NCI-H226
NCI-H2286,NCI-H2286
NCI-H2291,NCI-H2291
NCI-H23,NCI-H23
NCI-H2342,NCI-H2342
NCI-H2347,NCI-H2347
NCI-H2369,NCI-H2369
NCI-H2373,NCI-H2373
NCI-H2405,NCI-H2405
NCI-H2444,NCI-H2444
NCI-H2452,NCI-H2452
NCI-H2461,NCI-H2461
NCI-H2595,NCI-H2595
NCI-H2722,NCI-H2722
NCI-H2731,NCI-H2731
NCI-H2795,NCI-H2795
NCI-H28,NCI-H28
NCI-H2803,NCI-H2803
NCI-H2804,NCI-H2804
NCI-H2810,NCI-H2810
NCI-H292,NCI-H292
NCI-H3122,NCI-H3122
NCI-H322,NCI-H322
NCI-H322M,NCI-H322M
NCI-H322T,#N/A
NCI-H3255,NCI-H3255
NCI-H345,NCI-H345
NCI-H358,NCI-H358
NCI-H378,NCI-H378
NCI-H441,NCI-H441
NCI-H446,NCI-H446
NCI-H460,NCI-H460
NCI-H508,NCI-H508
NCI-H510,#N/A
NCI-H520,NCI-H520
NCI-H522,NCI-H522
NCI-H524,NCI-H524
NCI-H526,NCI-H526
NCI-H596,NCI-H596
NCI-H630,NCI-H630
NCI-H64,NCI-H64
NCI-H647,NCI-H647
NCI-H650,NCI-H650
NCI-H660,NCI-H660
NCI-H661,NCI-H661
NCI-H69,NCI-H69
NCI-H716,NCI-H716
NCI-H720,NCI-H720
NCI-H727,NCI-H727
NCI-H740,NCI-H740
NCI-H747,NCI-H747
NCI-H748,NCI-H748
NCI-H810,NCI-H810
NCI-H82,NCI-H82
NCI-H820,NCI-H820
NCI-H838,NCI-H838
NCI-H841,NCI-H841
NCI-H847,NCI-H847
NCI-H854,#N/A
NCI-H889,NCI-H889
NCI-H920,#N/A
NCI-H929,NCI-H929
NCI-N417,#N/A
NCI-N87,NCI-N87
NCI-PC3,#N/A
NCI-SNU-1,#N/A
NCI-SNU-16,#N/A
NCI-SNU-5,#N/A
NCO2,NCO2
NEC8,NEC8
NH-12,NH-12
NH-6,NH-6
NIH:OVCAR-3,OVCAR-3
NK-92MI,NK-92MI
NKM-1,NKM-1
NMC-G1,NMC-G1
no-10,#N/A
no-11,#N/A
NOMO-1,NOMO-1
NOS-1,NOS-1 [Human osteosarcoma]
NTERA-2,NTERA-2
NU-DHL-1,NU-DHL-1
NU-DUL-1,NU-DUL-1
NUGC-2,#N/A
NUGC-3,NUGC-3
NUGC-4,NUGC-4
NY,NY
OACM5-1,OACM5.1 C
OACp4C,OACP4 C
OAW-28,OAW28
OAW-42,OAW42
OAW28NR,#N/A
OC-314,OC 314
OC-316,#N/A
OCI-AML2,OCI-AML-2
OCI-AML3,OCI-AML-3
OCI-AML5,OCI-AML-5
OCI-LY-19,OCI-Ly19
OCI-LY-7,OCI-Ly7
OCI-Ly10,OCI-Ly10
OCI-Ly3,OCI-Ly3
OCI-M1,OCI-M1
OCI-M2,#N/A
OCUB-M,OCUB-M
OCUM-1,OCUM-1
OE19,OE19
OE21,OE21
OE33,OE33
OELE,#N/A
OKAJIMA,#N/A
OMC-1,OMC-1 [Human cervical carcinoma]
ONCO-DG-1,ONCO-DG-1
ONS-76,ONS-76
OPM-2,OPM-2
OS-RC-2,OS-RC-2
OSC-19,OSC-19
OSC-20,OSC-20
OUMS-23,OUMS-23
OUMS-27,#N/A
OV-17R,OV17R
OV-56,OV56
OV-7,OV7
OV-90,OV-90
OvCA-432,#N/A
OvCA420,OVCA420
OvCA429,#N/A
OvCA433,OVCA433
OVCAR-4,OVCAR-4
OVCAR-5,OVCAR-5
OVCAR-8,OVCAR-8
OVISE,OVISE
OVK-18,OVK18
OVKATE,OVKATE
OVMANA,#N/A
OVMIU,OVMIU
OVSAHO,OVSAHO
OVTOKO,OVTOKO
P12-ICHIKAWA,P12-Ichikawa
P30-OHK,P30/OHK
P31-FUJ,P31/FUJ
P32-ISH,P32/ISH
P3HR-1,P3HR-1
PA-1,PA-1
PA-TU-8902,PaTu 8902
PA-TU-8988S,PaTu 8988s
PA-TU-8988T,PaTu 8988t
Panc-02.03,Panc 02.03
Panc-02.13,#N/A
Panc-03.27,Panc 03.27
Panc-04.03,Panc 04.03
Panc-05.04,Panc 05.04
Panc-08.13,Panc 08.13
Panc-1,PANC-1
Panc-10.05,Panc 10.05
PC-14,PC-14
PC-3,PC-3
PC-3_JPC-3,PC-3 [Human lung carcinoma]
PCI-15A,PCI-15A
PCI-30,PCI-30
PCI-38,PCI-38
PCI-4B,PCI-04B
PCI-6A,PCI-06A
PCM6,#N/A
PE_CA-PJ15,PE/CA-PJ15
PE/CA-PJ34-(clone-C12),PE/CA-PJ34 (clone C12)
